latent_1,latent_2,latent_3,latent_4,cluster
29.671228,0.0,82.53904,37.64991,2
1.2344915,0.0,2.8523033,1.5113063,0
11.562417,0.0,31.860794,14.559093,1
8.959719,0.0,24.373844,11.474657,0
29.695908,0.0,82.5888,37.703636,1
1.2147545,0.0,2.8036444,1.4785557,2
11.567364,0.0,31.871296,14.569251,1
11.590311,0.0,31.9337,14.600604,3
1.1736144,0.0,2.7037938,1.408476,3
8.934327,0.0,24.309978,11.433989,1
8.957725,0.0,24.361515,11.4799,0
1.1905837,0.0,2.7440429,1.4384631,0
19.327543,0.0,53.47555,24.594587,0
11.563032,0.0,31.87014,14.551081,0
11.587322,0.0,31.928814,14.592782,0
1.2033871,0.0,2.7816553,1.4527344,0
8.943541,0.0,24.33091,11.451331,1
1.1926783,0.0,2.7517712,1.4389819,0
1.213035,0.0,2.7981427,1.4771587,0
19.305801,0.0,53.417538,24.563595,0
8.932173,0.0,24.3025,11.432912,0
1.1949762,0.0,2.7587118,1.4413238,0
8.969028,0.0,24.393274,11.494169,0
1.1930103,0.0,2.750176,1.4423157,0
11.584034,0.0,31.915802,14.59298,0
11.573458,0.0,31.89336,14.571246,0
19.296093,0.0,53.39968,24.540482,0
19.296953,0.0,53.397957,24.546347,2
1.2144531,0.0,2.8006387,1.4806651,0
1.1906145,0.0,2.7441707,1.438454,3
8.926902,0.0,24.29027,11.423283,0
29.68663,0.0,82.570076,37.683453,2
11.582622,0.0,31.917461,14.584711,0
1.2506404,0.0,2.8871346,1.5438467,3
1.1822302,0.0,2.7245753,1.4233023,1
1.2142824,0.0,2.8050325,1.4748303,0
21.936792,0.0,60.97972,27.688652,2
1.2317626,0.0,2.843024,1.5097201,2
1.2167856,0.0,2.8099277,1.4804549,1
1.1889442,0.0,2.7425654,1.4327856,1
19.322266,0.0,53.465492,24.582426,2
1.2248095,0.0,2.8259478,1.498107,0
11.565861,0.0,31.870033,14.563939,0
19.300364,0.0,53.40303,24.555843,2
8.946788,0.0,24.33601,11.4600725,2
1.1796424,0.0,2.7190034,1.4180773,0
8.937112,0.0,24.31737,11.438004,0
11.577931,0.0,31.898403,14.58557,2
11.56633,0.0,31.872883,14.562765,1
19.286161,0.0,53.371166,24.52864,0
8.926439,0.0,24.292564,11.418556,2
11.5527525,0.0,31.837448,14.542501,2
19.322618,0.0,53.462406,24.587566,0
8.972232,0.0,24.400267,11.500531,0
29.633514,0.0,82.43841,37.59615,1
29.693867,0.0,82.58335,37.70073,0
21.953897,0.0,61.020477,27.718672,0
21.938925,0.0,60.98804,27.688654,3
11.582291,0.0,31.910835,14.590864,3
8.99162,0.0,24.454102,11.525738,0
1.1825826,0.0,2.7253594,1.4239848,0
8.944931,0.0,24.33108,11.457395,0
29.681114,0.0,82.553345,37.677914,2
8.978993,0.0,24.422356,11.505499,1
11.597393,0.0,31.95087,14.612689,1
1.1854771,0.0,2.7340174,1.4270322,1
8.9722805,0.0,24.405426,11.494801,0
19.303907,0.0,53.42053,24.55162,0
8.97752,0.0,24.418264,11.503583,0
29.682285,0.0,82.564514,37.670303,2
8.952656,0.0,24.353342,11.466502,0
8.983569,0.0,24.431746,11.515271,0
11.577758,0.0,31.897911,14.585361,2
19.299309,0.0,53.412285,24.540428,2
8.959055,0.0,24.372084,11.4737015,1
11.563941,0.0,31.864563,14.561608,2
1.2079427,0.0,2.7919543,1.4613687,0
19.313175,0.0,53.44324,24.567148,0
8.985157,0.0,24.436153,11.517335,0
19.275524,0.0,53.348824,24.506523,2
1.2071837,0.0,2.786256,1.4645221,2
8.974005,0.0,24.408503,11.499012,2
1.179791,0.0,2.7222984,1.4149456,2
8.922196,0.0,24.281303,11.412439,1
1.220421,0.0,2.8152232,1.4907161,1
8.961108,0.0,24.374014,11.4807205,0
11.581269,0.0,31.910263,14.586924,1
19.32177,0.0,53.460144,24.586357,3
19.290636,0.0,53.393158,24.523428,3
29.687744,0.0,82.57103,37.68736,1
1.1778333,0.0,2.7154481,1.4140314,1
19.309275,0.0,53.428818,24.566227,2
19.307669,0.0,53.42252,24.566257,3
19.29092,0.0,53.383865,24.535425,0
19.306818,0.0,53.420254,24.565046,0
29.66596,0.0,82.52498,37.6424,2
19.288301,0.0,53.370846,24.538649,0
8.971052,0.0,24.400406,11.495059,0
8.925312,0.0,24.286053,11.420989,0
11.590409,0.0,31.932339,14.602615,1
8.96956,0.0,24.394684,11.494935,0
8.994453,0.0,24.461971,11.529423,0
29.634691,0.0,82.445564,37.59319,3
1.1778828,0.0,2.7149005,1.4148856,3
19.309185,0.0,53.43059,24.56378,0
8.979035,0.0,24.419155,11.509377,0
8.973365,0.0,24.40341,11.502004,0
8.955738,0.0,24.363283,11.46892,3
19.279104,0.0,53.35435,24.516264,0
19.311827,0.0,53.435627,24.569864,0
19.287586,0.0,53.381004,24.52372,1
1.2388659,0.0,2.8593295,1.5228984,3
21.949196,0.0,61.00464,27.715763,1
29.691648,0.0,82.58146,37.692932,1
21.949112,0.0,61.01265,27.706142,1
11.579501,0.0,31.902878,14.587475,1
19.299978,0.0,53.418087,24.536743,1
29.695038,0.0,82.59452,37.69312,2
29.677944,0.0,82.55495,37.6618,1
11.6001835,0.0,31.958824,14.616078,1
19.304258,0.0,53.417446,24.556759,1
11.5537615,0.0,31.84225,14.541504,1
1.1912422,0.0,2.749506,1.4351275,2
11.585389,0.0,31.925713,14.587654,0
8.924715,0.0,24.287985,11.416069,1
29.690134,0.0,82.57339,37.695404,0
8.915964,0.0,24.264763,11.403453,1
21.919601,0.0,60.924026,27.675476,0
11.5770445,0.0,31.896122,14.584204,3
19.291689,0.0,53.383904,24.538841,3
1.2040037,0.0,2.7777069,1.4600625,0
8.978467,0.0,24.41758,11.508636,2
11.58571,0.0,31.920986,14.594545,3
1.2139263,0.0,2.7993517,1.479778,0
11.574107,0.0,31.89204,14.575698,0
8.924516,0.0,24.283937,11.419842,0
19.26498,0.0,53.324707,24.486856,1
19.2888,0.0,53.376198,24.534723,0
8.945529,0.0,24.336187,11.454199,0
19.303072,0.0,53.41428,24.555067,0
11.5670805,0.0,31.873512,14.56542,0
8.970417,0.0,24.395226,11.49817,1
19.273575,0.0,53.34161,24.506065,3
21.924116,0.0,60.944992,27.671638,2
19.285898,0.0,53.37248,24.525948,0
29.67499,0.0,82.54102,37.664543,1
11.553228,0.0,31.834663,14.547852,2
8.917424,0.0,24.268637,11.405558,0
19.29932,0.0,53.408287,24.54508,0
29.680098,0.0,82.55063,37.676464,3
19.306978,0.0,53.4247,24.560637,1
1.2023278,0.0,2.7741022,1.4566749,0
11.574217,0.0,31.893227,14.574816,0
8.933198,0.0,24.303461,11.436419,2
1.2004126,0.0,2.7699823,1.452803,0
11.573706,0.0,31.892403,14.573465,3
19.305119,0.0,53.41572,24.562624,1
19.308168,0.0,53.427876,24.562332,3
8.966412,0.0,24.38809,11.488367,1
19.283354,0.0,53.36569,24.522322,2
11.567164,0.0,31.87619,14.56271,0
8.982436,0.0,24.4286,11.513798,2
8.911654,0.0,24.249805,11.401298,2
1.2052004,0.0,2.7802818,1.4624822,0
8.957197,0.0,24.367153,11.471022,0
19.321428,0.0,53.459232,24.585869,1
8.959384,0.0,24.369438,11.478235,0
8.971018,0.0,24.398554,11.497038,0
8.962764,0.0,24.37489,11.487166,0
8.972268,0.0,24.402023,11.498666,2
21.93821,0.0,60.977207,27.697933,3
8.963032,0.0,24.38264,11.479436,0
8.973026,0.0,24.402468,11.501561,0
11.587052,0.0,31.922897,14.59839,0
1.1940426,0.0,2.755861,1.440407,0
8.950039,0.0,24.348154,11.4607,0
19.31615,0.0,53.449177,24.573711,2
8.949243,0.0,24.346043,11.459553,0
1.2317626,0.0,2.843024,1.5097201,0
11.567952,0.0,31.876,14.56648,3
1.2083127,0.0,2.7869773,1.4687741,0
19.280893,0.0,53.357113,24.521135,0
8.928164,0.0,24.297138,11.421042,2
8.947753,0.0,24.34737,11.451319,0
11.572768,0.0,31.886707,14.575812,2
8.959984,0.0,24.374548,11.4750395,0
8.953485,0.0,24.357302,11.46567,0
11.576521,0.0,31.894863,14.583305,3
19.257936,0.0,53.303905,24.479134,1
29.70557,0.0,82.62262,37.708134,2
8.98009,0.0,24.423744,11.508836,2
1.179791,0.0,2.7222984,1.4149456,2
19.28676,0.0,53.370758,24.531816,1
1.2040037,0.0,2.7777069,1.4600625,0
8.936115,0.0,24.311205,11.440626,0
19.287416,0.0,53.38055,24.523478,0
19.294054,0.0,53.394238,24.537573,1
8.968797,0.0,24.39442,11.491807,1
19.298653,0.0,53.402485,24.548767,2
11.576353,0.0,31.90232,14.573951,2
11.55784,0.0,31.847168,14.5542,1
1.2149795,0.0,2.8019254,1.4815519,2
21.959223,0.0,61.033154,27.728022,3
21.981638,0.0,61.088043,27.76565,2
8.944867,0.0,24.334429,11.453243,2
8.934396,0.0,24.313679,11.430029,3
8.987084,0.0,24.441505,11.519841,0
1.1988031,0.0,2.764332,1.4520715,0
29.647615,0.0,82.47603,37.616245,1
8.953088,0.0,24.356249,11.465097,2
1.1910782,0.0,2.747826,1.4363266,2
1.1996746,0.0,2.7715707,1.4476489,2
8.900254,0.0,24.22659,11.376742,3
8.951364,0.0,24.351671,11.462611,3
29.68637,0.0,82.5714,37.68077,0
11.587015,0.0,31.92414,14.596788,1
19.320827,0.0,53.45964,24.582695,0
8.925742,0.0,24.288952,11.41958,3
1.2058381,0.0,2.780555,1.4650378,0
8.952557,0.0,24.35484,11.464332,2
8.988331,0.0,24.44497,11.5214615,1
1.1892802,0.0,2.7402642,1.4369509,0
1.1581109,0.0,2.6610003,1.3880228,3
11.566034,0.0,31.87053,14.564151,0
19.291155,0.0,53.390526,24.528805,2
1.2024748,0.0,2.7771258,1.45385,0
1.1848152,0.0,2.7303278,1.4283068,0
21.94997,0.0,61.011124,27.711782,0
8.958192,0.0,24.366274,11.476515,3
8.953353,0.0,24.35695,11.465481,1
11.562417,0.0,31.860794,14.559093,0
8.942313,0.0,24.325895,11.4515915,2
19.306808,0.0,53.424248,24.560392,0
8.974272,0.0,24.40593,11.503181,0
19.266193,0.0,53.319897,24.497858,3
8.9686,0.0,24.397415,11.487463,1
11.579964,0.0,31.907108,14.584683,3
8.964491,0.0,24.38651,11.481539,3
1.2379587,0.0,2.8608508,1.5170593,1
19.335188,0.0,53.49595,24.605486,0
1.234754,0.0,2.8493707,1.5158693,1
8.957332,0.0,24.367508,11.471216,1
8.932274,0.0,24.308048,11.426969,0
8.981905,0.0,24.428782,11.511196,3
21.987768,0.0,61.10602,27.772509,0
11.534661,0.0,31.787848,14.518242,0
1.1710954,0.0,2.6972966,1.4046273,0
1.1777928,0.0,2.7122009,1.4175935,0
1.1923082,0.0,2.74846,1.4411333,0
8.934526,0.0,24.314026,11.430218,0
8.953088,0.0,24.356249,11.465097,2
11.556969,0.0,31.84468,14.553141,0
8.972835,0.0,24.403597,11.499403,3
11.580036,0.0,31.90894,14.582897,0
29.677694,0.0,82.55226,37.66376,1
1.2290359,0.0,2.8353066,1.5063432,0
19.308155,0.0,53.43186,24.557674,0
11.579327,0.0,31.902382,14.587263,0
19.303658,0.0,53.41785,24.553581,1
19.305265,0.0,53.424156,24.553556,2
21.972734,0.0,61.06639,27.750525,0
11.567429,0.0,31.874508,14.565843,0
19.309368,0.0,53.427055,24.568678,0
8.978276,0.0,24.418707,11.506478,0
8.972983,0.0,24.405666,11.497684,1
8.961903,0.0,24.376122,11.481866,1
11.579112,0.0,31.907814,14.580031,2
8.955707,0.0,24.361437,11.470902,3
8.943309,0.0,24.332056,11.448969,0
19.277508,0.0,53.34406,24.520943,2
11.60147,0.0,31.965515,14.614154,1
11.567212,0.0,31.880238,14.558256,3
19.313276,0.0,53.437485,24.574251,1
11.564399,0.0,31.862843,14.565649,0
