latent_1,latent_2,latent_3,latent_4,cluster
326.97607,0.0,0.0,212.44037,2
1790.4993,0.0,0.0,1190.7692,0
748.34283,0.0,0.0,492.5765,1
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,1
0.0,1.0003111,1.8691466,0.06922754,2
515.7532,0.0,0.0,333.51117,1
0.0,1.0003111,1.8691466,0.06922754,3
0.0,1.0003111,1.8691466,0.06922754,3
0.0,1.0003111,1.8691466,0.06922754,1
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,0
1780.061,0.0,0.0,1183.5916,0
0.0,1.0003111,1.8691466,0.06922754,0
836.3277,0.0,0.0,553.5026,0
0.0,1.0003111,1.8691466,0.06922754,1
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,0
1815.1376,0.0,0.0,1207.6685,0
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,0
333.84894,0.0,0.0,217.99309,0
0.0,1.0003111,1.8691466,0.06922754,0
647.34656,0.0,0.0,421.01807,0
746.2397,0.0,0.0,486.68277,2
1859.0658,0.0,0.0,1234.4403,0
0.0,1.0003111,1.8691466,0.06922754,3
482.3928,0.0,0.0,316.66287,0
0.0,1.0003111,1.8691466,0.06922754,2
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,3
953.1957,0.0,0.0,634.05707,1
1071.2742,0.0,0.0,711.0225,0
0.0,1.0003111,1.8691466,0.06922754,2
945.5727,0.0,0.0,629.03406,2
0.0,1.0003111,1.8691466,0.06922754,1
0.0,1.0003111,1.8691466,0.06922754,1
0.0,1.0003111,1.8691466,0.06922754,2
1790.959,0.0,0.0,1191.1395,0
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,2
0.0,1.0003111,1.8691466,0.06922754,2
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,2
0.0,1.0003111,1.8691466,0.06922754,1
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,2
0.0,1.0003111,1.8691466,0.06922754,2
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,1
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,3
0.0,1.0003111,1.8691466,0.06922754,3
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,0
408.27844,0.0,0.0,256.96835,2
0.0,1.0003111,1.8691466,0.06922754,1
621.3928,0.0,0.0,404.5459,1
0.0,1.0003111,1.8691466,0.06922754,1
1206.6661,0.0,0.0,802.1768,0
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,2
921.22546,0.0,0.0,612.1658,0
1846.0521,0.0,0.0,1226.5754,0
0.0,1.0003111,1.8691466,0.06922754,2
0.0,1.0003111,1.8691466,0.06922754,2
358.18112,0.0,0.0,231.67505,1
0.0,1.0003111,1.8691466,0.06922754,2
722.82153,0.0,0.0,472.02356,0
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,2
0.0,1.0003111,1.8691466,0.06922754,2
0.0,1.0003111,1.8691466,0.06922754,2
0.0,1.0003111,1.8691466,0.06922754,2
1846.2565,0.0,0.0,1226.6996,1
0.0,1.0003111,1.8691466,0.06922754,1
586.488,0.0,0.0,385.16232,0
616.1197,0.0,0.0,394.76117,1
0.0,1.0003111,1.8691466,0.06922754,3
0.0,1.0003111,1.8691466,0.06922754,3
483.12756,0.0,0.0,314.67792,1
0.0,1.0003111,1.8691466,0.06922754,1
0.0,1.0003111,1.8691466,0.06922754,2
0.0,1.0003111,1.8691466,0.06922754,3
0.0,1.0003111,1.8691466,0.06922754,0
724.5587,0.0,0.0,477.09824,0
0.0,1.0003111,1.8691466,0.06922754,2
1734.0728,0.0,0.0,1152.0278,0
1773.6913,0.0,0.0,1179.2369,0
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,1
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,3
0.0,1.0003111,1.8691466,0.06922754,3
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,3
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,1
0.0,1.0003111,1.8691466,0.06922754,3
0.0,1.0003111,1.8691466,0.06922754,1
354.3444,0.0,0.0,233.08052,1
0.0,1.0003111,1.8691466,0.06922754,1
0.0,1.0003111,1.8691466,0.06922754,1
585.64935,0.0,0.0,374.17383,1
0.0,1.0003111,1.8691466,0.06922754,2
465.97452,0.0,0.0,302.484,1
0.0,1.0003111,1.8691466,0.06922754,1
0.0,1.0003111,1.8691466,0.06922754,1
0.0,1.0003111,1.8691466,0.06922754,1
0.0,1.0003111,1.8691466,0.06922754,2
0.0,1.0003111,1.8691466,0.06922754,0
390.90063,0.0,0.0,245.94984,1
0.0,1.0003111,1.8691466,0.06922754,0
564.277,0.0,0.0,371.44397,1
0.0,1.0003111,1.8691466,0.06922754,0
647.307,0.0,0.0,411.33356,3
374.5819,0.0,0.0,243.97197,3
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,2
0.0,1.0003111,1.8691466,0.06922754,3
335.66257,0.0,0.0,215.9539,0
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,0
0.0,1.0003111,1.8691466,0.06922754,1
